from_address,nonce,life_avg,max_rev
0x004e6f03648b0b0f529511697b0f36a463a24836,2969,7760.225589225589,2969
0x00832a758a781055ac19b5f9bf553db8bb9db32d,60,1025293.0983606557,60
0x01091506ce9f1977a660c5ad4915cbd89e4e1a49,6,4465637.571428572,6
0x081edbef6106ab1253557451b261c1c99bade726,36,474859.08108108107,36
0x0c4b367e876d18d5c102023d9240dd7e9c11b380,11,177079.91666666666,11
0x11e63fa9256c37d100b6786569663b116480f92a,63,531478.703125,63
0x126d407584cf73ba5d15102bab0e578a64cca3f1,9,1395966.8,9
0x15c19e6c203e2c34d1edfb26626bfc4f65ef96f0,35,1601430.1944444445,35
0x1706024467ef8c9c4648da6fc35f2c995ac79cf6,136,501276.60583941604,136
0x19c1f4d2cf1606d1ba3030aef48b96e56bc92a6a,170,208201.61988304093,170
0x1f3df0b8390bb8e9e322972c5e75583e87608ec2,139,503753.3,139
0x2149cbdd59b50bef9a264914b441f917dc9c7d55,3,690678.0,3
0x22c6731a21ad946bcd934f62f04b2d06ebfbedc9,428,126280.65967365967,428
0x23b61de5076526b3a1026491157c6df731ae8b61,59,1001062.0333333333,59
0x274df34325ca19627e5e587c48b7e77dfc4b9cc6,227,242928.16228070174,227
0x2b3b67c6dffc2bcdda2315491eac9bbe868fbcdd,45,1524799.3695652173,45
0x3013d62a7357021259c3ee463ec9fbc64de7ba76,33,1260927.3529411764,33
0x36be38dab57631aae070b8977daa35d6de1ab8a0,3,5123539.25,3
0x36e6dadc5a045a86dbc9ecfeda5c459784d3537f,61,836615.1612903225,61
0x3e5dcce17765928400ee4a4b8905e1dd9f42a00f,15,1138988.0,15
0x44fcfabfbe32024a01b778c025d70498382cced0,25,3404279.5,25
0x47c8f28e6056374aba3df0854306c2556b104601,4369,18683.57551487414,4369
0x4b60b53a6edcd75f0730ecc22579df2079f210b0,150,377497.29801324505,150
0x537397e3a68584e05e332d2ba75340e37012f50a,100,538472.4851485149,100
0x53f117ca3b93eda96d08c8496af103303c385059,29,403980.5,29
0x5574754c7cb6618d0079065bfabdc46f31bc7a32,1181,31584.252115059222,1181
0x562f587bff5a559e3fe671028b3096d8e3bb9107,212,314795.37558685447,212
0x58f75ddacffb183a30f69fe58a67a0d0985fce0f,675,50396.252958579884,675
0x5a2fad810f990c4535ada938400b6b67ef7646af,417,152178.08612440192,417
0x606b2272215a0cdd1cf4f38293ffaa42f0f56c34,48,1445856.448979592,48
0x6a0afe6f45a878100480f312b585aa0d752d4d2d,3,3116048.25,3
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,2,4698706.333333333,2
0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,50,1720985.862745098,50
0x746aaac06b04c36f5fea9bbb35ca75518eda1cca,40,1248483.731707317,40
0x749bd34c771456a8de28aa0883b00d11273e2ede,8,1080762.111111111,8
0x7c27f68b0d5afffb668da3e046adfba6ea1f6bc3,164,323074.7696969697,164
0x7d5d58560819c172e45b46c0965bbda5a8895f80,64,866161.9846153846,64
0x841991ffe0dafd619bc517d82ee4700c37136140,18,2200177.052631579,18
0x850468f69fa4fe32816cd7698fd5bd1ece3e1d5c,200,125084.80099502488,200
0x85992bb01c8c64a80656c1df988f313af6b661e9,1098,24061.728844404002,1098
0x8c097a9c954894c8779edef955398d6b8ea7226a,157,286663.89873417723,157
0x8dcaeebf49a479ed5e5b3b45a38c9125a0ef6d23,420,53952.33491686461,420
0x93b7e9364c4df6de55ed0d10c80e7afc0612e93a,101,887303.6764705882,101
0x95b2eb812ce96cabc6dfd94bfcdae5192e027763,25,2231415.9615384615,25
0x967cd47aa3195cff1248ac123e8a452d84daba1d,130,245771.1145038168,130
0x9df172fc167a8a567c208fc14e3435eb8043e2b7,49,775652.36,49
0xa04fc9bd2be8bcc6875d9ebb964e8f858bcc1b4f,5,8410175.333333334,5
0xa2c9a7578e2172f32a36c5c0e49d64776f9e7883,103,784169.1057692308,103
0xad54edbe26782a7c190eabc0b35869b0e66ffcce,25,1664249.6923076923,25
0xae18c66ac8e11f1218e5b5d25535b935644b8c42,8,195805.55555555556,8
0xaf518d65f84e4695a4da0450ec02c1248f56b668,33330,2338.8345984218895,33330
0xafa1c92a27215d1d1dad4fa89972e7c8d91218f9,23,2268289.2083333335,23
0xb0c591788ac5f9638a8aea025019e626f17186df,40,1241335.5609756098,40
0xb4e817449b2fcdec82e69f02454b42fe95d4d1fd,35,352889.6666666667,35
0xb55d31e46428beb28234b62d5178dad5ec8ad8ca,419,4710.990476190476,419
0xc4904676bfee9b5332033e6f7307433635346d21,58,474681.6779661017,58
0xc78310231aa53bd3d0fea2f8c705c67730929d8f,93,1177519.8936170214,93
0xc869af1617a9032a7c8ee60427027ba23cb9e4f8,39,35414.6,39
0xc98f8c6b319ecceccaa9361ed5372274674f96cf,260,214393.41379310345,260
0xca48ba80cfa6cc06963b62aee48000f031c7e2dc,21,1726020.8636363635,21
0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4,46,499894.4893617021,46
