from_address, entity, balance, txcount
0xa258b39954cef5cb142fd567a46cddb31a670124,Radar Relay,0,3
0x55890b06f0877a01bb5349d93b202961f8e27a9b,Shark Relay,0.009004,3
0xc898fbee1cc94c0ff077faa5449915a506eff384,Bamboo Relay,0.11058127,12
0x37c4bcaba4bcf3a605414236b8b108f160eb45a6,LocalCoin Dex 2,0,13
0x4524baa98f9a3b9dec57caae7633936ef96bd708,LedgerDex,0.21112875,20
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,AmadeusRelay,0.18352526,24
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,OpenRelay,0.09996143,29
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,IDT Exchange,0.000001,86
0x8d1c1571367a148e92d6ac83494b1bdf3b497d07,LocalCoin DEX 3,0,137
0xc692453625023c6e03fec04158ea31ab4de2650a,LocalCoin Dex 1,0,896
0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean,3.246331,"2,146"
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,DeversiFi,4.80682525,"4,442"
0xf92c1ad75005e6436b4ee84e88cb23ed8a290988,ParaSwap,0,"8,902"
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex,5.54535864,"50,624"
0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex,3.36904537,"108,926"
0x49497a4d914ae91d34ce80030fe620687bf333fd,DDEX 1.0,16.67837119,"116,868"
0xe269e891a2ec8585a378882ffa531141205e92e9,DDEX,1.26898088,"199,360"
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,IDEX 2,21.96649385,"5,019,940"
