from_address,indegree,sum_inether,avg_inether,inether_max,inether_min,std_inether
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,1,0.03078924,0.03078924,0.03078924,0.03078924,0
0x55890b06f0877a01bb5349d93b202961f8e27a9b,1,0.01,0.01,0.01,0.01,0
0xa258b39954cef5cb142fd567a46cddb31a670124,1,0.02,0.02,0.02,0.02,0
0xc898fbee1cc94c0ff077faa5449915a506eff384,1,0.12,0.12,0.12,0.12,0
0x7219612be7036d1bfa933e16ca1246008f38c5fe,7,59.16455627,8.452079467,19.68669699,0.01,8.437120722
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,6,61.010001,10.1683335,34,1.00E-06,13.94725825
0x8d1c1571367a148e92d6ac83494b1bdf3b497d07,127,7.432033864,0.058519952,1.23588764,7.90E-05,0.145882208
0xa7a7899d944fe658c4b0a1803bab2f490bd3849e,309,8693.91194,28.13563735,200,0,37.32320507
0xe269e891a2ec8585a378882ffa531141205e92e9,10,485.000958,48.5000958,199.999958,0,66.12310932
0xc692453625023c6e03fec04158ea31ab4de2650a,238,60.01730779,0.252173562,7.324948999,0,0.620663221
0xaf8ae6955d07776ab690e565ba6fbc79b8de3a5d,33,10074.4413,305.2860999,699.99865,0,166.932946
0x49497a4d914ae91d34ce80030fe620687bf333fd,5,41.09920612,8.219841223,28.52456678,0,12.07792663
0x0681e844593a051e2882ec897ecd5444efe19ff2,33,75.103,2.275848485,15,0,2.80912353
0xf92c1ad75005e6436b4ee84e88cb23ed8a290988,9602,30346.68027,3.1604541,450,0,19.15106867
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,9,1.35,0.15,0.6,0,0.182411622
0xd2045edc40199019e221d71c0913343f7908d0d5,8,66.54181216,8.31772652,15,5,3.572088438
0x4524baa98f9a3b9dec57caae7633936ef96bd708,2,0.435,0.2175,0.345,0.09,0.180312229
0x37c4bcaba4bcf3a605414236b8b108f160eb45a6,5,0.778265401,0.15565308,0.299978999,1.90E-04,0.106168556
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,9,1.35,0.15,0.6,0,0.182411622
0xc898fbee1cc94c0ff077faa5449915a506eff384,1,0.12,0.12,0.12,0.12,0
