from_address,indegree,sum_inether,avg_inether,inether_max,inether_min,std_inether
0x5e575279bf9f4acf0a130c186861454247394c06,43859,1181.60292,0.026940945,100,0,0.92120365
0xfe9e8709d3215310075d67e3ed32a380ccf451c8,12897,2259234.136,175.1751675,110341.122,0,3462.19326
0xf977814e90da44bfa03b6295a0616a897441acec,10,1880500.422,188050.0422,456948.1925,0,179360.0872
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,72,0.14991033,0.002082088,0.07511033,0,0.012006829
0x1fd6267f0d86f62d88172b998390afee2a1f54b6,805,846526.8056,1051.586094,4000,0,941.0210136
0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,53414,2042714.209,38.24304881,55188.82272,0,434.0142544
0x7a10ec7d68a048bdae36a70e93532d31423170fa,7033,155011.8346,22.04064191,5560,0,175.6711761
0xa96b536eef496e21f5432fd258b6f78cf3673f74,6462,18062.78124,2.79523077,199.99,0,6.632017464
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,48,5057153.873,105357.3723,1943845.377,0,306054.742
0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,342088,333237.5095,0.97412803,2000,0,7.408008451
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,45683,932338.6073,20.40887436,8000,0,156.4595099
0xa30d8157911ef23c46c0eb71889efe6a648a41f7,2880,633208.7658,219.8641548,20636.59721,0,857.6884986
0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,127241,2366310.386,18.59707474,9999.99958,0,97.87538028
0xf73c3c65bde10bf26c2e1763104e609a41702efe,188036,1995066.865,10.61002609,14999.999,0,81.32662444
0xa12431d0b9db640034b0cdfceef9cce161e62be4,364425,4302400.727,11.80599774,36000,0,195.7194155
0xf5bec430576ff1b82e44ddb5a1c93f6f9d0884f3,1859832,1149380.448,0.618002297,2999.99895,0,11.45372852
0xcac725bef4f114f728cbcfd744a731c2a463c3fc,87321,2641500.86,30.25046507,42548.89644,0,301.7416545
0x007174732705604bbbf77038332dc52fd5a5000c,56713,231919.7179,4.089357254,12867.39971,0,95.11692806
0x2819c144d5946404c0516b6f817a960db37d4929,392979,1566782.701,3.986937472,3699.99958,0,20.65032776
0xeed16856d551569d134530ee3967ec79995e2051,2114,767356.9477,362.9881493,699.97938,0,102.2085792
0x390de26d772d2e2005c6d1d24afc902bae37a4bb,522850,5052836.474,9.664026918,16694.4974,0,83.52472507
0x4b729cf402cfcffd057e254924b32241aedc1795,73743,941873.3668,12.77237659,10000,0,98.6348825
0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,11311,12081.26834,1.068099049,65.921,0,3.32641167
0x742d35cc6634c0532925a3b844bc454e4438f44e,6838,9955576.597,1455.919362,594453.8045,0,11639.21171
0x7891b20c690605f4e370d6944c8a5dbfac5a451c,2755,40063.15693,14.54198074,2999.999769,0,76.6057347
0xd551234ae421e3bcba99a0da6d736074f22192ff,1899,17577339.18,9256.102782,74340,0,8120.931694
0x120a270bbc009644e35f0bb6ab13f95b8199c4ad,23058,4459216.212,193.3912834,26606.96,0,1018.59407
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,235509,3885893.86,16.4999803,695602,0,1485.879294
0x274f3c32c90517975e29dfc209a23f315c1e5fc7,195606,744448.7288,3.805858352,4500,0,32.56520483
0x0a73573cf2903d2d8305b1ecb9e9730186a312ae,14534,399.3045639,0.027473824,23.36910777,0,0.472542447
0x9fb01a2584aac5aae3fab1ed25f86c5269b32999,828,4925.407862,5.94856022,870,0,34.24017157
0xd3273eba07248020bf98a8b560ec1576a612102f,1779,671886.7537,377.6766463,1000,0,93.64352832
0x0861fca546225fbf8806986d211c8398f7457734,72,66.57726121,0.924684184,15,0,1.836455235
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,41,657334.645,16032.55232,108875.61,0,22128.69808
0x42da8a05cb7ed9a43572b5ba1b8f82a0a6e263dc,12,18413.31495,1534.442912,9999.99,0,3565.791581
0x72bcfa6932feacd91cb2ea44b0731ed8ae04d0d3,40376,686130.9488,16.9935345,5000,0,65.14285948
