from_address,indegree,sum_inether,avg_inether,inether_max,inether_min,std_inether
0x3e5dcce17765928400ee4a4b8905e1dd9f42a00f,2,0.15791,0.078955,0.14,0.01791,0.086330667
0x03e4b00b607d0980668ca6e50201576b00000000,2,0.1,0.05,0.1,0,0.070710678
0x36be38dab57631aae070b8977daa35d6de1ab8a0,2,16024.08508,8012.042542,16023.08508,1,11329.32501
0xdf398e0be9e0da2d8f8d687fd6b2c9082eefc29a,2,3.48675,1.743375,3.28675,0.2,2.182661857
0x274df34325ca19627e5e587c48b7e77dfc4b9cc6,2,3.08906984,1.54453492,3,0.08906984,2.058338456
0xfba4d50cab44f13102c0e270721e1cbefebd8922,2,2,1,1,1,0
0x850468f69fa4fe32816cd7698fd5bd1ece3e1d5c,2,95.12185,47.560925,95.11985,0.002,67.25847675
0xdf4d1b71aa4b8bb6814b2e5819844c3093a56349,3,1.8590031,0.6196677,1.6590031,0.05,0.901478538
0x0c4b367e876d18d5c102023d9240dd7e9c11b380,3,0.16117083,0.05372361,0.0888494,0.02232143,0.033419929
0xca48ba80cfa6cc06963b62aee48000f031c7e2dc,3,15310.6063,5103.535433,15300,0.60629994,8830.398593
0x6dd5a9f47cfbc44c04a0a4452f0ba792ebfbcc9a,3,6.98,2.326666667,3,1.98,0.583209511
0x3013d62a7357021259c3ee463ec9fbc64de7ba76,3,1.309,0.436333333,1,0.05,0.499209709
0x081edbef6106ab1253557451b261c1c99bade726,3,0.16,0.053333333,0.1,0.01,0.045092498
0x8dcaeebf49a479ed5e5b3b45a38c9125a0ef6d23,3,0.814707408,0.271569136,0.304964617,0.209742791,0.053600695
0xc4904676bfee9b5332033e6f7307433635346d21,3,4.174737083,1.391579028,2,0.179,1.050126405
0x15c19e6c203e2c34d1edfb26626bfc4f65ef96f0,3,33767.1002,11255.70007,33766.0992,0.001,19494.5775
0xb55d31e46428beb28234b62d5178dad5ec8ad8ca,3,0.65313978,0.21771326,0.60897954,0.01545663,0.338911267
0xf821fd99bca2111327b6a411c90be49dcf78ce0f,4,25.58144556,6.39536139,20.40714142,0.01,9.63521885
0xc869af1617a9032a7c8ee60427027ba23cb9e4f8,4,1.2442,0.31105,1,0.02,0.466429712
0x19c1f4d2cf1606d1ba3030aef48b96e56bc92a6a,4,1.05,0.2625,0.95,0,0.460751198
0x23b61de5076526b3a1026491157c6df731ae8b61,5,3896.732919,779.3465838,1939.99685,0.1,1059.246411
0xb4e817449b2fcdec82e69f02454b42fe95d4d1fd,5,901.21,180.242,900,0.05,402.3570349
0x00832a758a781055ac19b5f9bf553db8bb9db32d,5,656.6607274,131.3321455,649.9924,1.00E-04,289.9542621
0x841991ffe0dafd619bc517d82ee4700c37136140,5,9684.7308,1936.94616,8000,0.1,3454.950636
0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4,5,0.41684,0.083368,0.26542,0.006,0.108664295
